Review Title,Review Text,Sentiment,Review Length
Highly recommended,It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p...,1,95
Nice product,superb,1,1
Unsatisfactory,"Looked like defective once, without balance, had to throw 4 out of 6.",0,13
Nice product,Genuine product at very reasonable price....got for Rs 630/-,1,9
Fabulous!,Good sealed Original Yonex Shuttles,1,5
Not good,They are not as expected...the head  portion break very soon...defective pieces..,0,11
Good choice,I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price.,1,23
Great product,quality is poover,1,3
Best in the market!,good product,1,2
Super!,Good product.....,1,2
Very Good,Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness!,1,54
Slightly disappointed,"After using, found shuttles quality are not upto the level. This box has not 3d quality sticker.",0,17
Did not meet expectations,Local product,0,2
Not good,Few of shuttle just separated from base in just a single shot. Very poor quality,0,15
Not good,shuttle is over rotating,0,4
Absolute rubbish!,Very bad quality.,0,3
Worst experience ever!,Worst quality after 2 or 3 shots the ball started to rotate.,0,12
Decent product,Not expecting this kind of products from flipkart.,0,8
Awesome,No one better shuttles in the market.good quality and reasonable price.,1,11
Did not meet expectations,low quality,0,2
Really Nice,Superb quality... And best price.. Thanks to flipkart..!,1,8
Utterly Disappointed,second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800,0,25
Really Nice,I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.,1,56
Not recommended at all,Very bad quality this time,0,5
Absolute rubbish!,"I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350.",0,32
Horrible,"Quality is not good, rejected quality",0,6
Mind-blowing purchase,This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great deal,1,28
Terrific purchase,Really Nice productQuick delivery Thanks filpkart,1,6
Awesome,Very nice shuttle,1,3
Don't waste your money,Horrible product....each shuttle didn't last even I single day....Extremely poor quality..Pathetic,0,11
Worst experience ever!,Quality very low. Not orginal,0,5
Unsatisfactory,Worst,0,1
Very poor,Their is difference in online quality and market quality. local market products is far better than online products,0,18
Worst experience ever!,Dont but it.... worst product,0,5
Very poor,Low quality very bad quality 😡,0,6
Utterly Disappointed,"The Product is not original, the cork used to come out within 2 days of its use. Please don't buy these shuttles it's not original. Rather buy from the shop itself, the shop rates are the same.",0,37
Worthless,Quality was not good as earlier also the manufactur date also very long back. Earlier shuttlecocks I received with max past month manufacturer. But now that also too back.,0,29
Absolute rubbish!,Not genuine product,0,3
Waste of money!,Waste product,0,2
Absolute rubbish!,I have used same shuttle before. This item is not the same quality. It's to slow. Disappointed that time.,0,19
Waste of money!,Very High Price,0,3
Waste of money!,"Bad bad , compare to ah year back coming mavis 350",0,11
Just wow!,"The yonex Mavis 350 is the best among all the yonex shuttlecocks. I am playing with it for more than one year. But the price is increasing unnecessarily, it was Rs. 729 in the last year.",1,36
Worst experience ever!,Very bad product quality i have used 3shuttle in only 3days Totally wastage of money Copied product,0,17
Very poor,All shuttle's were heavier than the specifications. It felt like we were playing with a cheap rip off of the original MAVIS 350,0,23
Don't waste your money,3rd class quality  I want Returns but time is over,0,10
Very poor,Worst shuttle ever. The shuttles started spinning after few shots and did not even come for a game.,0,18
Not recommended at all,Certain corks are damaged. Certain corks are not even came for 2 matches,0,13
Absolute rubbish!,Very bad quality 👎,0,4
Terrible product,Not expected quality,0,3
Don't waste your money,Bad quality.... couldn't play 1hr  by an shuttle,0,8
Waste of money!,not durable. very poor quality,0,5
Good quality product,but price is littel bit high,1,6
Terrific purchase,Good,1,1
Just okay,Nice,0,1
Perfect product!,not the required one.,1,4
Not recommended at all,This product is not original.please avoid online purchase.,0,8
Worthless,One shuttle was damaged and vobling..let me know what to do,0,11
Good choice,Good quality product,1,3
Terrific purchase,Good shuttle and  classic product,1,5
Don't waste your money,got defective pieces,0,3
Horrible,"bad packing, unsatisfied",0,3
Awesome,Pros1. Quality product by yonex.It is original.2. Shuttle runs very long.3. Prompt delivery by flipkart.4. Shuttle is durable.Cons1.None,1,18
Super!,good quality..  nice product..  thanks fpr fast delivery,1,8
Brilliant,Nice cocke,1,2
Just wow!,Good quality,1,2
Duplicate product sold by RetailNet.,Scratch code mentioned in the barrel was verified in Yonex - Sunrise website. It mentioned that the product was duplicate.,0,20
Really Nice,it's awsm 😎,1,3
Best in the market!,reasonable price,1,2
Super!,"Excellent Product , Its 100% original product which i have received , Fast Delivery , No second tough go for it.....",1,21
Just wow!,One of the best offer given by My flipkart. best shuttle for tournaments and training. Always use this type of shuttles for play. No.1- yonex 350mavis Green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only.......,1,47
Delightful,"good . no question about it . lasting for 15-20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash , lasting same like green cap",1,35
Good for starters but not the best.,Mavis 350 is quite durable and and really good for starters. But I recommend Mavis 500 for best practice sessions.,1,20
Wonderful,"Received product before committed time. Thanks flipkart... This mavis 350 is really awesome product. It doesn't matter whether you are beginners, intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. I am playing with this from last 2 years.",1,45
Simply awesome,"Good ,very nicely packed and everyshuttle was very nice insude with perfect flight.",1,13
Worth every penny,"got this product earlier than expected at Rs689 on 7 th april 2018  on sale. box was properly sealed with Feb2018 packing/import date i m not sure but Mrp was 1040. so, for me it was way cheaper than market price here (Rs 750 per box). I also checked popular websites but no one was close to Flipkart at that point. I always use Mavis 350 green cap for its stability, durability and speed in open court. Thanks Flipkart, hoping cheaper deal again.",1,83
Mind-blowing purchase,"This is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. Mavis 300 is hard to find at times, so 350 is a savior as it's always available. Yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. Flipkart has offered best price in almost all season so far. Longevity of the shuttles are starkly less when played with at outdoor due...",1,88
Wonderful,"After a long time, got an entire box of genuine shuttles. Dynamic pricing strategy is a big no. Everyday prices can't go up and down. Otherwise we would be more than happy to buy.",1,34
Delightful,very good product n durable but not good enough speed slows down little in mid air,1,16
Brand new and Genuine,The shuttles were imported in February 2018 (bought March last) and the serial number revealed after scratching the sticker shows that the item is genuine. Did not start to play yet. But the items look good and sturdy. Got it for 708 and i think it is worth for the price. Also happy to get the items delivered quickly.,1,59
Must buy!,Best shuttlecocks... It's life is far better than li ning or any other shuttle in this price range... I purchased it from rs654  during sale... It's flight is also better than other shuttlecocks,1,33
Nice product,Good n Nice balanced shuttles... Thanks retailnet n flipkart.. Hope we'l get more convincing rates of lowered one...,1,18
Simply awesome,"This shuttle is the best one, it is excellent 👍 price doesn't matter ❤️",1,14
Hated it!,"Quality  very bad,per day one cork finished,may be it look like duplicate  mavis 350 corks.I purchased  many cork boxes  from all sellers.that all cork  boxes  comes  15 days  for playing, but this box stays only 6 days ,so you understand  how delicate this cork box  is",0,46
Unsatisfactory,Cost is too high I hate the product,0,8
Utterly Disappointed,Very poor quality...inconsistent speed...poor flight,0,5
Excellent,Yonex is always best in quality....,1,6
Worthless,worst shuttle... these doesn't last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... I would never buy this through flipkart...,0,34
MAVIS 350,"i have used this product. good for economic use. Durable and good balance. long lasting, even sustains wrong shots. Quiet economic when compared with Feather Shuttles.",1,26
Excellent,I'm very happy with this product and its quality. It arrived before its actual delivery date given. Thanks Flipkart for your quick delivery.  I recommended it to everyone who would like to enjoy a longer and satisfied games.,1,38
Mind-blowing purchase,Amazing shuttlecockDurable and of best qualityGo for it.,1,8
Just wow!,checked at Sunrisetnt.com . found genuine,1,6
Did not meet expectations,Horrible!!! In my 1st order I received Mavis 200i which was not sealed and the bill was of Mavis 350 I thought it was mistake then i asked for replacement in replacement I received box of Mavis 350 which was again not sealed and inside were cheap shuttles of local quality. Do not buy from Flipkart.,0,56
Not good,Average,0,1
Excellent shuttlecocks,"Excellent synthetic shuttles from Yonex. I have used 350s, 500s as well as 2000s. I prefer these yellow ones for the visibility. In general the 350s are quite durable and long lasting (one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable), and i found them to travel shorter distances than the 2000s and therefore prefer them.",1,65
Best in the market!,Best shuttle available in the market. I have not used any other shuttles till now. So not aware of a better shuttle.The price I got it from Flipkart is really the best price. I have researched checking other online stores and sports shops. This is definitely the best price I could find.,1,52
Not recommended at all,"Bad quality, i have pirchase 4 boxes but all are very fast.",0,12
Awesome,Best shuttle available online no more discription needed.,1,8
Just wow!,long lasting product.....nice product....,1,4
Terrific,best shuttle,1,2
Super!,🏸Good Quality... 🏸,1,3
Awesome,Fabulous item,1,2
Awesome,Nice quality.Very good product.I am very much thankful to Flipkart and the Courier company for delivering me so quickly.I am very happy.And I will definitely tell to my friends to order this product.,1,33
Don't waste your money,Feels the quality is far less compared to previous set which was brought from other platform. 1 Shuttle is breaking or wobbling per 1 hr game session.. Feeling cheated..,0,29
Brilliant,This is the original mavis 350,1,6
Worthless,Bad quality and poor quality while playing the ahuttles caps or loose,0,12
Just okay,Two shuttles were durable out of 6..,0,7
Worst experience ever!,Poor quality. It was horrible. I didn't play two games with each shuttle,0,13
Terrible product,Worst product. Every ball in this box got flat within one or two strokes. The disappointed fact is Flipkart is not accepting the replacement because of open box delivery. Without using the product how could I know the quality?,0,39
Just wow!,Best one,1,2
Perfect product!,Excellent product👌,1,2
Terrible product,Very Bad Quality in filpkart,0,5
Good,Delicate product,0,2
Don't waste your money,Bad quality,0,2
Very poor,Don't have good quality,0,4
Absolute rubbish!,Quality of 2 shuttles not as per Mavis 350 standards.,0,10
Must buy!,It's is good product and the service was very good,1,10
Not recommended at all,2nd quality,0,2
Moderate,Local product,0,2
Not good,Very old stock.. not lasts to even 5 games,0,9
Utterly Disappointed,All shuttles are not good in view of balance.,0,9
Just wow!,Ok,1,1
Terrific purchase,Nice product all suttles are good 🥰🥰,1,7
Excellent,Nice product,1,2
Could be way better,Old one only,0,3
Perfect product!,Super ball,1,2
Must buy!,According to cost it's average life,1,6
Slightly disappointed,So worst,0,2
Not recommended at all,👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎Poor quality 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,0,3
Did not meet expectations,Quality not good              It was broken after 2 match,0,9
Not good,Nice product but damage in 1 days,0,7
Useless product,Not good at all this is the worst product I have bought at flipkart,0,14
Absolute rubbish!,Low quality. Not durabality,1,4
Hated it!,Badly,0,1
Don't waste your money,Very bad quality,0,3
Waste of money!,Very bad product a word to describe I write duplicate product,0,11
Absolute rubbish!,This time quality very very worst,0,6
Expected a better product,Poor quality ☹️,0,3
Horrible,Very  low bad quality product Flipkart is fooling everyone,0,9
Expected a better product,"This shuttles were duplicates, these were not up to the mark.",0,11
Useless product,Very bad product I ever received,0,6
Don't waste your money,Bad copy quality riceve,0,4
Very poor,Waste of money,0,3
Worthless,Quality is very bad and very very tired class shuttecock,0,10
Useless product,So poor quality,0,3
Worthless,Reate is wery to much,0,5
Absolute rubbish!,The worst shuttle ever I used so far. Don't buy this product. It is low in quality,0,17
Expected a better product,not upto mark cork getting cracks,0,6
Horrible,Very poor quality Is not lasting for one set. Base is breakinf and the top is worn,0,17
Utterly Disappointed,"Bad quality, not good at all I dont like to prefer, beacuse delivery it's too late and as they comfortable they will change as theirs elf near me product is there also they will not deliver, if any emergency things don't order from flipcart better go some other apps ,....really too bad service.. product quality also too bad",0,58
Must buy!,Very good,1,2
Classy product,Good quality of shuttles,1,4
Brilliant,"I'm writing this review only because before i have rated only 3 star because i received a duplicate product,,,now I'm rating 5 star as i have received the original yonex mavis 350 shuttle,,thank you and in future i hope i will only receive the original products",1,46
Terrible product,Bad producted,0,2
Delightful,Good product,1,2
Does the job,Received counterfeit product.,0,3
Fabulous!,If u play with this for about 3 to 4 hours daily then 1 shuttle would last for maximum 2 days..,1,21
Terrific purchase,Good product,1,2
Nice,One day 1cap gaan,0,4
Just wow!,Good,1,1
Best in the market!,Superb. But why price is higher day by day. Between two weeks price is gained 170rs,1,16
Best in the market!,Good quality,1,2
Good,Very costly now during lockdown phase previously it os 650 now sometimes 750 sometimes 850,0,15
Worth every penny,Best,1,1
Good quality product,I play every day with this and we play really hard in Courts. This has always been a best choice.,1,20
Great product,This item is so good you can buy it it is original,1,12
Wonderful,Excellent for Indoor court,1,4
Great product,Genuine product. Nice packing.,1,4
Highly recommended,Good quality..😍🖤,1,2
Very Good,Nice thanks  Flipkart,1,3
Perfect product!,Nice product,1,2
Good,"Gradual decrease in quality, less longevity.",0,6
Pretty good,wow product,1,2
Did not meet expectations,1 box out of 4  boxes has very bad shuttle. All shuttles of that box was not playable.,0,18
Useless product,Product is not same as shown in the picture.,0,9
Nice,just Average.... not 100% good,0,5
Utterly Disappointed,"I realized that not to buy  shuttles from online ever. cheap and duplicate product.  no refund of your amount, only replacement of the product. plz don't waste your money.",0,29
Moderate,Shuttle is just okayish.It's movement in the air is a bit different from other Mavis 350s.,0,16
Decent product,I found that some of the shuttle are different,0,9
Very poor,shuttle was not of genuine conectarte quality,0,7
Unsatisfactory,poor quality,0,2
Nice product,2 balls are waste. they are rotate. unable to play.,1,10
Worthless,very poor quality.... 1 shuttle in not standing more than 2 days,0,12
Best in the market!,original product,1,2
Not good,Shuttle not good,0,3
Excellent,good as expected,1,3
Highly recommended,good,1,1
Waste of money!,Yonex Mavis 350 is not a pure item. shuttle's are so old,0,12
Must buy!,"Nice product 👌👌👌👌👌👌👌😎.I suggest you,plz buy this product .This is original product.Made in Japan 😀",1,15
Nice product,Good👍,1,1
Simply awesome,very nice,1,2
Best in the market!,nice,1,1
Awesome,nice shuttle for outdoor,1,4
Brilliant,good product,1,2
Great product,amazing cost and amazing one,1,5
Nice product,The packing made by flipkart is absolutely perfect and the mavis 350 are pretty good But I think this is very cost for this out side we can get it for just rs600 we can play very hard with these shuttles,1,41
Just wow!,good dilevary and very good product,1,6
Fair,it's worth,0,2
Just okay,Good,0,1
Did not meet expectations,Looks like these are fake shuttles & not sold by yonex.,0,11
Unsatisfactory,worst product not to buy low quality,0,7
Worst experience ever!,shuttles were shapeless as they may have been mishandelrd while in transportation,0,12
Hated it!,product is not good,0,4
Terrible product,"5 days for a delivery, it's something really very frustrating, even till now I didn't get the product.. please work on service.",0,22
Hated it!,bad quality,0,2
Simply awesome,Very good product,1,3
Simply awesome,best quality shuttles,1,3
Classy product,good quality. value the money,1,5
Good,very good,0,2
Hated it!,Very worst,0,2
Very Good,NOT BAD....,1,2
Classy product,shuttle is very good for me I am playing for last 8 days and the shuttle is still good.Value for money.Thank u Flipkart.,1,23
Utterly Disappointed,"Bad Quality,,,,,,",0,2
Bad quality,Quality is not good. Little bit fast.,0,7
Must buy!,Excellent it's original as I buy in local sports stores,1,10
Unsatisfactory,"Poor quality, shuttle become broke within 3-4 hour playing .ie within 1 day",0,13
Unsatisfactory,The shuttles worn off really quickly. More quickly than a regular mavis 350 does. So I tried to verify the authenticity of the product by entering the code on it onto the website and lo it was a genuine product.I've attached the pictures for reference. It developed a hairline crack so quickly after just half a match. All other shuttles had the same quality.,0,64
Highly recommended,Nice product best price super,1,5
Fair,If you are a professional player and played in Mavis 350 green colour then don't go for this product as this is lighter and slower than the green one. If you are a new buyer then you can go ahead and buy it as it doesn't matter. The speed is slower than the green Mavis 350,0,56
Very Good,Optimum weight and speed.. Easy to control the shots and easy court cover.  Good for learners and even beginners.. Base is not that of thermocol type material like its there in other yonex shurttles.. its a cork base so doesn't  get ruptured easily..  Worth buying👍,1,45
Absolute rubbish!,It's not suitable for outdoor,0,5
Not good,It seems it is not original. Lighter and not lasting for more than an hour of play.,0,17
Moderate,Horrible shuttle I ever play,0,5
Worth every penny,"Finally got orginal yonex mavis 350.Genuine piece.There are so many fakes avilable in market.so serious players buy from here, you wont regret.",1,22
Does the job,One shuttle lasts hardly 5 days which is very less. So I would suggest to the makers to keep in mind this thing before manufacturing. Price is also very high. Make it either durable or cheap for user friendly.,0,39
Classy product,"Item received in excellent condition, that too within one day. Thanks to the team. However one suggestion, please don't send the item in such a big cardboard box. Its actually a wastage of resources.",1,34
Best in the market!,Used both the boxes... People who say they are fake have either never played with mavis 350 or may have received a damaged box that might have disturbed the flight of the shuttle.... For me who plays with mavis 350 day in and day out... It is absolutely original and being speed 75...it plays well in Delhi heat above 35 degrees.... Will order more,1,64
Terrific purchase,"Product is good as like as bought in the open market. Price also is equal to open market. It would be good in on line, if price is less.",1,29
Simply awesome,nice items,1,2
Fabulous!,Thank you flipkart for providing such a great product with good quality and great deal.,1,15
Mind-blowing purchase,shutte is durable(lasts long) with good flight time ...much better than what I purchased at local store. also with offer it is cheaper,1,23
Great product,I love it.....It is really very guudAs well as it has a fantastic delivery It's so early also,1,18
Mind-blowing purchase,it's really good shuttle.  if you  want to improve your game it's best and also durable . it's flight is good and weight balance is superb.  it's best for amateur  level,1,31
Decent product,Not convinced with the quality of product.,0,7
Utterly Disappointed,"There is no option to put images in the review section , the shuttles delivered were all used ones and not even Mavis 350 , The seller must be totally  unprofessional  , a basic check of a seal should be taken care by Flipkart atleast",0,45
Nice,ok,0,1
good,Value for Money,1,3
Classy product,Excellent product but cost is higher,1,6
Moderate,one Shuttle just broken in 4 days by a smash,0,10
Absolute rubbish!,"Shuttle is very poor,Guys dont purchase,flipkhart check with supplier,other very big impact other sales also",0,15
Excellent,"nice shuttle , The Flight is correct, and good durability.",1,10
Good choice,Ball best but local rate are high,1,7
Above-average product,"Good, but flipcart price is too high. From the market we get it only 110 rs per peace",0,18
Value-for-money,"Good, slow type cork, we r using it for daily game, one cork lasts for 3 days",1,17
Worth every penny,Best shuttlecock ever.... we play everyday for abt 4 hours continusly.... and we still use 1 shuttlecock for about 8 to 10 days... it's very durable.. and has got really good flight... Yonex rocks.... 👍,1,35
Absolute rubbish!,Very worst rate,0,3
very good,shuttle has long life and light.,1,6
Worst experience ever!,Worst product.Dont go for it.It will not stand for an hour play,0,12
Cheating,You are fleecing customers by tagging wrong MRP.,0,8
Just wow!,Better for beginners,1,3
Did not meet expectations,"shuttle not Good ,even  1 match it will come,think twice before purchase",0,12
Moderate,Its okk,0,2
quality not same,1st time order quantity is good but next time quality is very poor . Shuttle not looking same also .,0,20
Super!,Nice product for practice,1,4
Fabulous!,Excellent,1,1
Classy product,Good one,1,2
Excellent,Nice,1,1
Good quality product,Good,1,1
Must buy!,It is good .,1,4
Classy product,Original product with great discount,1,5
Above-average product,Good product,0,2
Must buy!,"Absolutely good quality shuttles,and great packing by the team.",1,9
Decent product,Product  is  good  but  price  is  increased  Retailer  price  is  620 .,0,12
Worth every penny,"Dear Retailnet, this is the second order, second order  was ifferent to first one. this one the packing look different and the quality was nice.thanks happy with the second order",1,30
Brilliant,"Best cicks,but price was very highest please think it",1,9
Could be way better,Poor product...,0,2
Slightly disappointed,Poor quality,0,2
Fabulous!,Value for money,1,3
Fair,Not bad,0,2
Awesome,Best,1,1
Bad quality,Not so good.,0,3
Expected a better product,Quality not good and rotate the cork new one,0,9
Very poor,Very worst product,0,3
Fabulous!,Best quality,1,2
Useless product,One roll of corks Only two piece of cork is goodBut other four corks is waste after one match corks rolling So don't buy this product,0,26
Decent product,"Bad product. Out of 6, one or two number shuttle were good. All others are getting damaged in one match",0,20
Utterly Disappointed,Bad quality .,0,3
Pretty good,Nice product and packing,1,4
Did not meet expectations,This seems to be duplicate...general shuttle can be used around 3 to 5 days..but this online purchased product cannot be used more than 1 day...you can feel the difference with the shuttle while playing,0,34
Fabulous!,Super,1,1
Mind-blowing purchase,Best quality,1,2
Horrible,Going bad quickly. 1 to 2 days.,0,7
Highly recommended,"Extremely good,fully satisfied with its quality wishes to place repeat order",1,11
Classy product,Best shuttle cork,1,3
Fair,After playing 3to 4 matches cork gets rotate.  No longer used to play further games.,0,15
Super!,Good quality product,1,3
Just okay,Best for out game,0,4
Brilliant,You. Should definitely buy this,1,5
Brilliant,"Nice quality, genuine product and affordable price",1,7
Delightful,It is good for outdoor. Easy to spoil when it contact with water.,1,13
Super!,Nice must buy,1,3
Great product,Good,1,1
Wonderful,Good product,1,2
Wonderful,Nice one,1,2
Terrific purchase,Excellent 👌,1,2
Excellent,Thanks Flipkart,1,2
Perfect product!,Best one,1,2
Terrific purchase,Very good,1,2
Nice,Ok,0,1
Decent product,Breaking in 1 hour game . Bad quality,0,8
Pretty good,As expected... Nice..,1,3
Perfect product!,Superb..,1,1
Just wow!,Excellent,1,1
Really Nice,Good products,1,2
Worth the money,Nice,1,1
Mind-blowing purchase,Nice product and longlife,1,4
Worth every penny,Very good,1,2
Value-for-money,Worthy,1,1
Mind-blowing purchase,Very nice product thank you Flipkart original Mavis 350 ....,1,10
Highly recommended,Nice product. .,1,3
Pretty good,Good,1,1
Wonderful,Good,1,1
Good choice,I received original product.,1,4
Just wow!,"Very good shutles ,",1,4
Brilliant,Good,1,1
Good quality product,One ball play on one week,1,6
Awesome,Genuine product,1,2
Fabulous!,Best products of whole yonex company,1,6
Very poor,Bad quality...,0,2
Excellent,Very nice,1,2
Wonderful,good,1,1
Decent product,The bottom quality is not up to the mark. The wooded cork breaks apart when directly hit by the frame.,0,20
Decent product,Okay ok,0,2
Mind-blowing purchase,Good,1,1
Delightful,Ok,1,1
Terrific,"It was a genuine product, received in perfect condition.",1,9
Fabulous!,Good,1,1
Horrible,Easily got damaged,0,3
Worthless,Worst box,0,2
Best in the market!,On time delivery and quality was good,1,7
Does the job,Now a days getting bad quality.,0,6
Must buy!,THIS SHTLES ARE VERY NICE AND ORIGNAL .ONE CAN BUY FROM THIS SITE,1,13
Mind-blowing purchase,Nice 👍👍👍,1,2
Delightful,Some shuttle quality wise not good actually we need to hit the shuttle with more power even thought it won't.,1,20
Waste of money!,Very bad not good,0,4
Worth the money,Good,1,1
Terrible product,Very bad product,0,3
Useless product,Very poor quality. Don't buy.,0,5
Delightful,It's good,1,2
Excellent,Nice... Cost was high,1,4
Value-for-money,Product is good prices are high,1,6
Simply awesome,Nice,1,1
Awesome,Very good product,1,3
Utterly Disappointed,Quality not good,0,3
Good choice,Good.,1,1
Terrific,Very nice,1,2
Just wow!,good,1,1
Terrific,Very good,1,2
Must buy!,Fantastic,1,1
Simply awesome,Full Balanced Shuttle Great Experience with Flipkart,1,7
Worth every penny,Okay,1,1
Best in the market!,shuttle are very smooth i like it,1,7
Fabulous!,Very good,1,2
Highly recommended,350 best shuttle for intermediate players.,1,6
Nice,Nice,0,1
Just wow!,Superb quality,1,2
Super!,Super,1,1
Terrible product,Very worest,0,2
Worth every penny,Excellent,1,1
Fair,Price is too high,0,4
Fabulous!,Nice product,1,2
Simply awesome,Best quality,1,2
Does the job,Good,0,1
Best in the market!,Good,1,1
Simply awesome,Good Quality and more discount. 👌👌,1,6
Wonderful,Good product quality,1,3
Highly recommended,"This set of shuttle is very fine and long lastic , sustainable.",1,12
Worth every penny,Worth to buy,1,3
Wonderful,"Prodct is good, long lasting and powerfull.",1,7
Super!,Reliable product with best service,1,5
Just okay,Try to reduce the cost this products,0,7
Wonderful,Great shuttle,1,2
Value-for-money,Well condition,1,2
Great product,Always good...,1,2
Classy product,"Product is good,but price costly",1,5
Worth the money,Great shuttle best in all,1,5
Must buy!,Super,1,1
Excellent,It's nothing to say hate but it's fantastic....,1,8
Best in the market!,Goodproduct,1,1
Excellent,Very good,1,2
Fabulous!,Valuable product 👍,1,3
Does the job,Quality not good...,0,3
Pretty good,Very good,1,2
Simply awesome,Very nice,1,2
Classy product,Best Quality,1,2
Very Good,Good product,1,2
Just wow!,Nice shuttle,1,2
Best in the market!,Excellent,1,1
Simply awesome,Very good,1,2
Fabulous!,Durable and pretty smooth while controlling,1,6
Good,Good,0,1
Value-for-money,Good one,1,2
Good quality product,Very good,1,2
Simply awesome,Good,1,1
Terrific,Good quality product,1,3
Excellent,"Nice,",1,1
Worth every penny,Good 😊,1,2
Awesome,Gud quality,1,2
Delightful,Good,1,1
Waste of money!,Worst,0,1
Really Nice,Nice,1,1
Brilliant,Good product,1,2
Did not meet expectations,Worst product no qulity,0,4
Excellent,"Awesome.,..got at such a price.....thank you so much flipkart",1,9
Nice product,Good,1,1
Excellent,Very nice products,1,3
Worth every penny,As expected. Thank you,1,4
Could be way better,Using this product Mavis 350 for years . But this time very poor quality shuttles received..,0,16
Best in the market!,Very nice,1,2
Not recommended at all,Not good no variginal,0,4
Great product,Very good.. recommended,1,3
Really Nice,The best yonex,1,3
Just wow!,Nice og product,1,3
Perfect product!,Nice,1,1
Terrible product,Bad quality product,0,3
Waste of money!,Worst products not buy online shop yonex mavis 350,0,9
Brilliant,Supr 👍,1,2
Mind-blowing purchase,The shuttles are very nice. Nothing to complain about,1,9
Delightful,Nice,1,1
Best in the market!,There is no debate these are the best in the market but are always out of stock,1,17
Wonderful,It is excellent item. Good performance,1,6
Perfect product!,Very nice n original product,1,5
Wonderful,Very good shuttle,1,3
Just wow!,Good product,1,2
