Final Text,Sentiment
decent product. not expecting this kind of products from flipkart.,0
awesome. no one better shuttles in the market.good quality and reasonable price.,1
did not meet expectations. low quality,0
really nice. superb quality... and best price.. thanks to flipkart..,1
utterly disappointed. second quality shuttles .. don t buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750 800,0
really nice. i don t think it is genuine cos i had it checked on the official website of yonex with the hologram number. yet product is not bad and it does the job well. i will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.,1
not recommended at all. very bad quality this time,0
absolute rubbish . i ve received 6 duplicate n cheapest balls kept inside a broken box which it was done deleberately. worst experience i ve ever had with flipkart. can buy anything except badminton yonex mavis 350.,0
horrible. quality is not good rejected quality,0
mind blowing purchase. this green cap shuttle is very good for indoor as well as outdoor play. though it has a slow speed and is durable. thanks for a great deal,1
terrific purchase. really nice productquick delivery thanks filpkart,1
awesome. very nice shuttle,1
don t waste your money. horrible product....each shuttle didn t last even i single day....extremely poor quality..pathetic,0
worst experience ever . quality very low. not orginal,0
unsatisfactory. worst,0
very poor. their is difference in online quality and market quality. local market products is far better than online products,0
worst experience ever . dont but it.... worst product,0
very poor. low quality very bad quality,0
utterly disappointed. the product is not original the cork used to come out within 2 days of its use. please don t buy these shuttles it s not original. rather buy from the shop itself the shop rates are the same.,0
worthless. quality was not good as earlier also the manufactur date also very long back. earlier shuttlecocks i received with max past month manufacturer. but now that also too back.,0
absolute rubbish . not genuine product,0
waste of money . waste product,0
absolute rubbish . i have used same shuttle before. this item is not the same quality. it s to slow. disappointed that time.,0
waste of money . very high price,0
waste of money . bad bad compare to ah year back coming mavis 350,0
just wow . the yonex mavis 350 is the best among all the yonex shuttlecocks. i am playing with it for more than one year. but the price is increasing unnecessarily it was rs. 729 in the last year.,1
worst experience ever . very bad product quality i have used 3shuttle in only 3days totally wastage of money copied product,0
very poor. all shuttle s were heavier than the specifications. it felt like we were playing with a cheap rip off of the original mavis 350,0
don t waste your money. 3rd class quality i want returns but time is over,0
very poor. worst shuttle ever. the shuttles started spinning after few shots and did not even come for a game.,0
not recommended at all. certain corks are damaged. certain corks are not even came for 2 matches,0
absolute rubbish . very bad quality,0
terrible product. not expected quality,0
don t waste your money. bad quality.... couldn t play 1hr by an shuttle,0
waste of money . not durable. very poor quality,0
good quality product. but price is littel bit high,1
terrific purchase. good,1
just okay. nice,0
perfect product . not the required one.,1
not recommended at all. this product is not original.please avoid online purchase.,0
worthless. one shuttle was damaged and vobling..let me know what to do,0
good choice. good quality product,1
terrific purchase. good shuttle and classic product,1
don t waste your money. got defective pieces,0
horrible. bad packing unsatisfied,0
awesome. pros1. quality product by yonex.it is original.2. shuttle runs very long.3. prompt delivery by flipkart.4. shuttle is durable.cons1.none,1
super . good quality.. nice product.. thanks fpr fast delivery,1
brilliant. nice cocke,1
just wow . good quality,1
duplicate product sold by retailnet.. scratch code mentioned in the barrel was verified in yonex sunrise website. it mentioned that the product was duplicate.,0
really nice. it s awsm,1
best in the market . reasonable price,1
super . excellent product its 100 original product which i have received fast delivery no second tough go for it.....,1
just wow . one of the best offer given by my flipkart. best shuttle for tournaments and training. always use this type of shuttles for play. no.1 yonex 350mavis green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only.......,1
delightful. good . no question about it . lasting for 15 20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash lasting same like green cap,1
good for starters but not the best.. mavis 350 is quite durable and and really good for starters. but i recommend mavis 500 for best practice sessions.,1
wonderful. received product before committed time. thanks flipkart... this mavis 350 is really awesome product. it doesn t matter whether you are beginners intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. i am playing with this from last 2 years.,1
simply awesome. good very nicely packed and everyshuttle was very nice insude with perfect flight.,1
worth every penny. got this product earlier than expected at rs689 on 7 th april 2018 on sale. box was properly sealed with feb2018 packing import date i m not sure but mrp was 1040. so for me it was way cheaper than market price here rs 750 per box . i also checked popular websites but no one was close to flipkart at that point. i always use mavis 350 green cap for its stability durability and speed in open court. thanks flipkart hoping cheaper deal again.,1
mind blowing purchase. this is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. mavis 300 is hard to find at times so 350 is a savior as it s always available. yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. flipkart has offered best price in almost all season so far. longevity of the shuttles are starkly less when played with at outdoor due...,1
wonderful. after a long time got an entire box of genuine shuttles. dynamic pricing strategy is a big no. everyday prices can t go up and down. otherwise we would be more than happy to buy.,1
delightful. very good product n durable but not good enough speed slows down little in mid air,1
brand new and genuine. the shuttles were imported in february 2018 bought march last and the serial number revealed after scratching the sticker shows that the item is genuine. did not start to play yet. but the items look good and sturdy. got it for 708 and i think it is worth for the price. also happy to get the items delivered quickly.,1
must buy . best shuttlecocks... it s life is far better than li ning or any other shuttle in this price range... i purchased it from rs654 during sale... it s flight is also better than other shuttlecocks,1
nice product. good n nice balanced shuttles... thanks retailnet n flipkart.. hope we l get more convincing rates of lowered one...,1
simply awesome. this shuttle is the best one it is excellent price doesn t matter,1
hated it . quality very bad per day one cork finished may be it look like duplicate mavis 350 corks.i purchased many cork boxes from all sellers.that all cork boxes comes 15 days for playing but this box stays only 6 days so you understand how delicate this cork box is,0
unsatisfactory. cost is too high i hate the product,0
utterly disappointed. very poor quality...inconsistent speed...poor flight,0
excellent. yonex is always best in quality....,1
worthless. worst shuttle... these doesn t last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... i would never buy this through flipkart...,0
mavis 350. i have used this product. good for economic use. durable and good balance. long lasting even sustains wrong shots. quiet economic when compared with feather shuttles.,1
excellent. i m very happy with this product and its quality. it arrived before its actual delivery date given. thanks flipkart for your quick delivery. i recommended it to everyone who would like to enjoy a longer and satisfied games.,1
mind blowing purchase. amazing shuttlecockdurable and of best qualitygo for it.,1
just wow . checked at sunrisetnt.com . found genuine,1
did not meet expectations. horrible in my 1st order i received mavis 200i which was not sealed and the bill was of mavis 350 i thought it was mistake then i asked for replacement in replacement i received box of mavis 350 which was again not sealed and inside were cheap shuttles of local quality. do not buy from flipkart.,0
not good. average,0
excellent shuttlecocks. excellent synthetic shuttles from yonex. i have used 350s 500s as well as 2000s. i prefer these yellow ones for the visibility. in general the 350s are quite durable and long lasting one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable and i found them to travel shorter distances than the 2000s and therefore prefer them.,1
best in the market . best shuttle available in the market. i have not used any other shuttles till now. so not aware of a better shuttle.the price i got it from flipkart is really the best price. i have researched checking other online stores and sports shops. this is definitely the best price i could find.,1
not recommended at all. bad quality i have pirchase 4 boxes but all are very fast.,0
awesome. best shuttle available online no more discription needed.,1
just wow . long lasting product.....nice product....,1
terrific. best shuttle,1
super . good quality...,1
awesome. fabulous item,1
awesome. nice quality.very good product.i am very much thankful to flipkart and the courier company for delivering me so quickly.i am very happy.and i will definitely tell to my friends to order this product.,1
don t waste your money. feels the quality is far less compared to previous set which was brought from other platform. 1 shuttle is breaking or wobbling per 1 hr game session.. feeling cheated..,0
brilliant. this is the original mavis 350,1
worthless. bad quality and poor quality while playing the ahuttles caps or loose,0
just okay. two shuttles were durable out of 6..,0
worst experience ever . poor quality. it was horrible. i didn t play two games with each shuttle,0
terrible product. worst product. every ball in this box got flat within one or two strokes. the disappointed fact is flipkart is not accepting the replacement because of open box delivery. without using the product how could i know the quality,0
just wow . best one,1
perfect product . excellent product,1
terrible product. very bad quality in filpkart,0
good. delicate product,0
don t waste your money. bad quality,0
very poor. don t have good quality,0
absolute rubbish . quality of 2 shuttles not as per mavis 350 standards.,0
must buy . it s is good product and the service was very good,1
not recommended at all. 2nd quality,0
moderate. local product,0
not good. very old stock.. not lasts to even 5 games,0
utterly disappointed. all shuttles are not good in view of balance.,0
just wow . ok,1
terrific purchase. nice product all suttles are good,1
excellent. nice product,1
could be way better. old one only,0
perfect product . super ball,1
must buy . according to cost it s average life,1
slightly disappointed. so worst,0
not recommended at all. poor quality,0
did not meet expectations. quality not good it was broken after 2 match,0
not good. nice product but damage in 1 days,0
useless product. not good at all this is the worst product i have bought at flipkart,0
absolute rubbish . low quality. not durabality,1
hated it . badly,0
don t waste your money. very bad quality,0
waste of money . very bad product a word to describe i write duplicate product,0
absolute rubbish . this time quality very very worst,0
expected a better product. poor quality,0
horrible. very low bad quality product flipkart is fooling everyone,0
expected a better product. this shuttles were duplicates these were not up to the mark.,0
useless product. very bad product i ever received,0
don t waste your money. bad copy quality riceve,0
very poor. waste of money,0
worthless. quality is very bad and very very tired class shuttecock,0
useless product. so poor quality,0
worthless. reate is wery to much,0
absolute rubbish . the worst shuttle ever i used so far. don t buy this product. it is low in quality,0
expected a better product. not upto mark cork getting cracks,0
horrible. very poor quality is not lasting for one set. base is breakinf and the top is worn,0
utterly disappointed. bad quality not good at all i dont like to prefer beacuse delivery it s too late and as they comfortable they will change as theirs elf near me product is there also they will not deliver if any emergency things don t order from flipcart better go some other apps ....really too bad service.. product quality also too bad,0
must buy . very good,1
classy product. good quality of shuttles,1
brilliant. i m writing this review only because before i have rated only 3 star because i received a duplicate product now i m rating 5 star as i have received the original yonex mavis 350 shuttle thank you and in future i hope i will only receive the original products,1
terrible product. bad producted,0
delightful. good product,1
does the job. received counterfeit product.,0
fabulous . if u play with this for about 3 to 4 hours daily then 1 shuttle would last for maximum 2 days..,1
terrific purchase. good product,1
nice. one day 1cap gaan,0
just wow . good,1
best in the market . superb. but why price is higher day by day. between two weeks price is gained 170rs,1
best in the market . good quality,1
good. very costly now during lockdown phase previously it os 650 now sometimes 750 sometimes 850,0
worth every penny. best,1
good quality product. i play every day with this and we play really hard in courts. this has always been a best choice.,1
great product. this item is so good you can buy it it is original,1
wonderful. excellent for indoor court,1
great product. genuine product. nice packing.,1
highly recommended. good quality..,1
very good. nice thanks flipkart,1
perfect product . nice product,1
good. gradual decrease in quality less longevity.,0
pretty good. wow product,1
did not meet expectations. 1 box out of 4 boxes has very bad shuttle. all shuttles of that box was not playable.,0
useless product. product is not same as shown in the picture.,0
nice. just average.... not 100 good,0
utterly disappointed. i realized that not to buy shuttles from online ever. cheap and duplicate product. no refund of your amount only replacement of the product. plz don t waste your money.,0
moderate. shuttle is just okayish.it s movement in the air is a bit different from other mavis 350s.,0
decent product. i found that some of the shuttle are different,0
very poor. shuttle was not of genuine conectarte quality,0
unsatisfactory. poor quality,0
nice product. 2 balls are waste. they are rotate. unable to play.,1
worthless. very poor quality.... 1 shuttle in not standing more than 2 days,0
best in the market . original product,1
not good. shuttle not good,0
excellent. good as expected,1
highly recommended. good,1
waste of money . yonex mavis 350 is not a pure item. shuttle s are so old,0
must buy . nice product .i suggest you plz buy this product .this is original product.made in japan,1
nice product. good,1
simply awesome. very nice,1
best in the market . nice,1
awesome. nice shuttle for outdoor,1
brilliant. good product,1
great product. amazing cost and amazing one,1
nice product. the packing made by flipkart is absolutely perfect and the mavis 350 are pretty good but i think this is very cost for this out side we can get it for just rs600 we can play very hard with these shuttles,1
just wow . good dilevary and very good product,1
fair. it s worth,0
just okay. good,0
did not meet expectations. looks like these are fake shuttles not sold by yonex.,0
unsatisfactory. worst product not to buy low quality,0
worst experience ever . shuttles were shapeless as they may have been mishandelrd while in transportation,0
hated it . product is not good,0
terrible product. 5 days for a delivery it s something really very frustrating even till now i didn t get the product.. please work on service.,0
hated it . bad quality,0
simply awesome. very good product,1
simply awesome. best quality shuttles,1
classy product. good quality. value the money,1
good. very good,0
hated it . very worst,0
very good. not bad....,1
classy product. shuttle is very good for me i am playing for last 8 days and the shuttle is still good.value for money.thank u flipkart.,1
utterly disappointed. bad quality,0
bad quality. quality is not good. little bit fast.,0
must buy . excellent it s original as i buy in local sports stores,1
unsatisfactory. poor quality shuttle become broke within 3 4 hour playing .ie within 1 day,0
unsatisfactory. the shuttles worn off really quickly. more quickly than a regular mavis 350 does. so i tried to verify the authenticity of the product by entering the code on it onto the website and lo it was a genuine product.i ve attached the pictures for reference. it developed a hairline crack so quickly after just half a match. all other shuttles had the same quality.,0
highly recommended. nice product best price super,1
fair. if you are a professional player and played in mavis 350 green colour then don t go for this product as this is lighter and slower than the green one. if you are a new buyer then you can go ahead and buy it as it doesn t matter. the speed is slower than the green mavis 350,0
very good. optimum weight and speed.. easy to control the shots and easy court cover. good for learners and even beginners.. base is not that of thermocol type material like its there in other yonex shurttles.. its a cork base so doesn t get ruptured easily.. worth buying,1
absolute rubbish . it s not suitable for outdoor,0
not good. it seems it is not original. lighter and not lasting for more than an hour of play.,0
moderate. horrible shuttle i ever play,0
worth every penny. finally got orginal yonex mavis 350.genuine piece.there are so many fakes avilable in market.so serious players buy from here you wont regret.,1
does the job. one shuttle lasts hardly 5 days which is very less. so i would suggest to the makers to keep in mind this thing before manufacturing. price is also very high. make it either durable or cheap for user friendly.,0
classy product. item received in excellent condition that too within one day. thanks to the team. however one suggestion please don t send the item in such a big cardboard box. its actually a wastage of resources.,1
best in the market . used both the boxes... people who say they are fake have either never played with mavis 350 or may have received a damaged box that might have disturbed the flight of the shuttle.... for me who plays with mavis 350 day in and day out... it is absolutely original and being speed 75...it plays well in delhi heat above 35 degrees.... will order more,1
terrific purchase. product is good as like as bought in the open market. price also is equal to open market. it would be good in on line if price is less.,1
simply awesome. nice items,1
fabulous . thank you flipkart for providing such a great product with good quality and great deal.,1
mind blowing purchase. shutte is durable lasts long with good flight time ...much better than what i purchased at local store. also with offer it is cheaper,1
great product. i love it.....it is really very guudas well as it has a fantastic delivery it s so early also,1
mind blowing purchase. it s really good shuttle. if you want to improve your game it s best and also durable . it s flight is good and weight balance is superb. it s best for amateur level,1
decent product. not convinced with the quality of product.,0
utterly disappointed. there is no option to put images in the review section the shuttles delivered were all used ones and not even mavis 350 the seller must be totally unprofessional a basic check of a seal should be taken care by flipkart atleast,0
nice. ok,0
good. value for money,1
classy product. excellent product but cost is higher,1
moderate. one shuttle just broken in 4 days by a smash,0
absolute rubbish . shuttle is very poor guys dont purchase flipkhart check with supplier other very big impact other sales also,0
excellent. nice shuttle the flight is correct and good durability.,1
good choice. ball best but local rate are high,1
above average product. good but flipcart price is too high. from the market we get it only 110 rs per peace,0
value for money. good slow type cork we r using it for daily game one cork lasts for 3 days,1
worth every penny. best shuttlecock ever.... we play everyday for abt 4 hours continusly.... and we still use 1 shuttlecock for about 8 to 10 days... it s very durable.. and has got really good flight... yonex rocks....,1
absolute rubbish . very worst rate,0
very good. shuttle has long life and light.,1
worst experience ever . worst product.dont go for it.it will not stand for an hour play,0
cheating. you are fleecing customers by tagging wrong mrp.,0
just wow . better for beginners,1
did not meet expectations. shuttle not good even 1 match it will come think twice before purchase,0
moderate. its okk,0
quality not same. 1st time order quantity is good but next time quality is very poor . shuttle not looking same also .,0
super . nice product for practice,1
fabulous . excellent,1
classy product. good one,1
excellent. nice,1
good quality product. good,1
must buy . it is good .,1
classy product. original product with great discount,1
above average product. good product,0
must buy . absolutely good quality shuttles and great packing by the team.,1
decent product. product is good but price is increased retailer price is 620 .,0
worth every penny. dear retailnet this is the second order second order was ifferent to first one. this one the packing look different and the quality was nice.thanks happy with the second order,1
brilliant. best cicks but price was very highest please think it,1
could be way better. poor product...,0
slightly disappointed. poor quality,0
fabulous . value for money,1
fair. not bad,0
awesome. best,1
bad quality. not so good.,0
expected a better product. quality not good and rotate the cork new one,0
very poor. very worst product,0
fabulous . best quality,1
useless product. one roll of corks only two piece of cork is goodbut other four corks is waste after one match corks rolling so don t buy this product,0
decent product. bad product. out of 6 one or two number shuttle were good. all others are getting damaged in one match,0
utterly disappointed. bad quality .,0
pretty good. nice product and packing,1
did not meet expectations. this seems to be duplicate...general shuttle can be used around 3 to 5 days..but this online purchased product cannot be used more than 1 day...you can feel the difference with the shuttle while playing,0
fabulous . super,1
mind blowing purchase. best quality,1
horrible. going bad quickly. 1 to 2 days.,0
highly recommended. extremely good fully satisfied with its quality wishes to place repeat order,1
classy product. best shuttle cork,1
fair. after playing 3to 4 matches cork gets rotate. no longer used to play further games.,0
super . good quality product,1
just okay. best for out game,0
brilliant. you. should definitely buy this,1
brilliant. nice quality genuine product and affordable price,1
delightful. it is good for outdoor. easy to spoil when it contact with water.,1
super . nice must buy,1
great product. good,1
wonderful. good product,1
wonderful. nice one,1
terrific purchase. excellent,1
excellent. thanks flipkart,1
perfect product . best one,1
terrific purchase. very good,1
nice. ok,0
decent product. breaking in 1 hour game . bad quality,0
pretty good. as expected... nice..,1
perfect product . superb..,1
just wow . excellent,1
really nice. good products,1
worth the money. nice,1
mind blowing purchase. nice product and longlife,1
worth every penny. very good,1
value for money. worthy,1
mind blowing purchase. very nice product thank you flipkart original mavis 350 ....,1
highly recommended. nice product. .,1
pretty good. good,1
wonderful. good,1
good choice. i received original product.,1
just wow . very good shutles,1
brilliant. good,1
good quality product. one ball play on one week,1
awesome. genuine product,1
fabulous . best products of whole yonex company,1
very poor. bad quality...,0
excellent. very nice,1
wonderful. good,1
decent product. the bottom quality is not up to the mark. the wooded cork breaks apart when directly hit by the frame.,0
decent product. okay ok,0
mind blowing purchase. good,1
delightful. ok,1
terrific. it was a genuine product received in perfect condition.,1
fabulous . good,1
horrible. easily got damaged,0
worthless. worst box,0
best in the market . on time delivery and quality was good,1
does the job. now a days getting bad quality.,0
must buy . this shtles are very nice and orignal .one can buy from this site,1
mind blowing purchase. nice,1
delightful. some shuttle quality wise not good actually we need to hit the shuttle with more power even thought it won t.,1
waste of money . very bad not good,0
worth the money. good,1
terrible product. very bad product,0
useless product. very poor quality. don t buy.,0
delightful. it s good,1
excellent. nice... cost was high,1
value for money. product is good prices are high,1
simply awesome. nice,1
awesome. very good product,1
utterly disappointed. quality not good,0
good choice. good.,1
terrific. very nice,1
just wow . good,1
terrific. very good,1
must buy . fantastic,1
simply awesome. full balanced shuttle great experience with flipkart,1
worth every penny. okay,1
best in the market . shuttle are very smooth i like it,1
fabulous . very good,1
highly recommended. 350 best shuttle for intermediate players.,1
nice. nice,0
just wow . superb quality,1
super . super,1
terrible product. very worest,0
worth every penny. excellent,1
fair. price is too high,0
fabulous . nice product,1
simply awesome. best quality,1
does the job. good,0
best in the market . good,1
simply awesome. good quality and more discount.,1
wonderful. good product quality,1
highly recommended. this set of shuttle is very fine and long lastic sustainable.,1
worth every penny. worth to buy,1
wonderful. prodct is good long lasting and powerfull.,1
super . reliable product with best service,1
just okay. try to reduce the cost this products,0
wonderful. great shuttle,1
value for money. well condition,1
great product. always good...,1
classy product. product is good but price costly,1
worth the money. great shuttle best in all,1
must buy . super,1
excellent. it s nothing to say hate but it s fantastic....,1
best in the market . goodproduct,1
excellent. very good,1
fabulous . valuable product,1
does the job. quality not good...,0
pretty good. very good,1
simply awesome. very nice,1
classy product. best quality,1
very good. good product,1
just wow . nice shuttle,1
best in the market . excellent,1
simply awesome. very good,1
fabulous . durable and pretty smooth while controlling,1
good. good,0
value for money. good one,1
good quality product. very good,1
simply awesome. good,1
terrific. good quality product,1
excellent. nice,1
worth every penny. good,1
awesome. gud quality,1
delightful. good,1
waste of money . worst,0
really nice. nice,1
brilliant. good product,1
did not meet expectations. worst product no qulity,0
excellent. awesome. ..got at such a price.....thank you so much flipkart,1
nice product. good,1
excellent. very nice products,1
worth every penny. as expected. thank you,1
could be way better. using this product mavis 350 for years . but this time very poor quality shuttles received..,0
best in the market . very nice,1
not recommended at all. not good no variginal,0
great product. very good.. recommended,1
really nice. the best yonex,1
just wow . nice og product,1
perfect product . nice,1
terrible product. bad quality product,0
waste of money . worst products not buy online shop yonex mavis 350,0
brilliant. supr,1
mind blowing purchase. the shuttles are very nice. nothing to complain about,1
delightful. nice,1
best in the market . there is no debate these are the best in the market but are always out of stock,1
wonderful. it is excellent item. good performance,1
perfect product . very nice n original product,1
wonderful. very good shuttle,1
just wow . good product,1
perfect product . this is really nice as i use this for a long time and particularly from this seller bptl,1
perfect product . good,1
excellent. original product,1
highly recommended. good priduct quality,1
awesome. good product,1
worth the money. not bad,1
absolute rubbish . very worst product each shuttle not lasting for a single match,0
just wow . very nice product,1
good choice. good,1
wonderful. this price segment one of the best shuttle by yonex i m used this product last 4year experience best this segment,1
very poor. these are fake shuttles and didn t even last a day each shuttle was broken in the same manner the bottom cork kept breaking without even damaging the skirt or without any notable wear and tear caused while playing.,0
classy product. super product,1
mind blowing purchase. super,1
brilliant. received original quality..durability is pretty good.. got original mavis 350 ..thanks,1
very poor. attrocious. product was not worth. please avoid selling such item to sustain in market.,0
mind blowing purchase. the product although satisfies it s quality.,1
wonderful. good quality,1
nice product. okay,1
mind blowing purchase. durable product,1
useless product. quality not adequate,0
simply awesome. good ones,1
value for money. nice shuttle,1
wonderful. best produce 100 genuine,1
worst experience ever . mavis 350 shuttlecock is best but the product i received was not original. maybe this is the fault of the supplier. we could play one or two games basic intermediate using one shuttlecock but with the original shuttlecock we could play a 10 15 match. so be careful when you are buying.,0
mind blowing purchase. very good product,1
terrible product. worst quality i never expected this from flipkart.,0
must buy . good,1
mind blowing purchase. genuine shuttles and hence trusted seller,1
wonderful. very geniune product and more durable thanks for flipkart,1
great product. original shuttles ni doubt,1
highly recommended. great deal,1
worth every penny. good product,1
good. very good for daily use. if price was around 500. it would have been good,0
does the job. quality of the shuttle is comes down,0
wonderful. very nice product,1
worth every penny. great combo,1
worth every penny. good,1
simply awesome. excellent,1
useless product. worst quality it s not the fault of yonex but this hera pheri is done by flipkart facility centre it s fare with costumer it s loss of time and money,0
brilliant. good product. thanks flipkart for fastest delivery,1
very poor. the product was with low quality. waste of money,0
worth every penny. super quality and worth for money,1
worth every penny. we always prefer this one,1
must buy . product is good,1
classy product. very good quality.,1
perfect product . the shuttles was excellent many are thinking that the shuttles which we are buying can be develivered as a duplicate ones but they are real.,1
highly recommended. really good,1
mind blowing purchase. good,1
simply awesome. super,1
highly recommended. good,1
awesome. it is original one and one day delivery within 24hrs,1
just okay. it will become damaged after two games,0
perfect product . nice but 10game after loose cork,1
hated it . not good,0
wonderful. good,0
decent product. after 2 3 games it is spinning,0
not good. it s not good..,0
just okay. nice not good,0
did not meet expectations. bad,0
pretty good. superb,1
value for money. good,1
mind blowing purchase. as usual best in market,1
best in the market . excellent shuttles for intermediate players in indoor,1
expected a better product. quality of this product become poor when we buying from flipkart...nit recommended,0
mind blowing purchase. nice,1
very poor. worst quality,0
great product. worth of cost,1
super . supar,1
super . best in market,1
mind blowing purchase. it is very good product it is better than other yonex suttle in the range of 1100 aprox,1
awesome. good quality,1
very good. good,1
fabulous . nice good quality,1
wonderful. good product,1
great product. excellent product,1
awesome. good sbuttle s,1
excellent. good but delivery date is late,1
nice. product are good only but we received the stocks which is 3 4 month befor manufactured.,0
terrific purchase. great product. timely delivery,1
worth every penny. the best,1
classy product. my daughter is happy n dilivary boy behavior is very good,1
could be way better. very light weight compare to offline products,0
wonderful. very good quality,1
nice product. nice,1
wonderful. good one,1
waste of money . the mavis 350 nylon shuttle quality is poor it lost its shape within two matches of play,0
brilliant. fantastic product and absolutely amazed by the pricing of this and the speedy delivery within 2 days to my doorstep.,1
fabulous . awesome,1
just okay. nice product good quality some pics are very slow,0
best in the market . nice,1
terrific purchase. very nice shuttle,1
really nice. good,1
terrific. very good,0
fabulous . ok good,1
brilliant. good to play,1
really nice. nice product,1
slightly disappointed. not bad,0
slightly disappointed. value for money bad product,0
does the job. it lasted only 2 3 hours of play.,0
awesome. good,1
terrific. good,1
best in the market . good product,1
worth every penny. good play,1
brilliant. good quality,1
fabulous . good product,1
excellent. good quality,1
simply awesome. very nice must buy..,1
nice. faster than the shuttle i bought from shop. getting spoilt in an hour game and all shots go out of court.,0
must buy . good product,1
just okay. not the best...,0
mind blowing purchase. excellent,1
worth the money. good product,1
not good. shuttle getting damaged in a single game,0
pretty good. it s nice,1
perfect product . superb,1
fabulous . fine for play but costly,1
best in the market . very good,1
waste of money . the bottoms of the corks are having lot of holes and which are easily get damaged after 3 to 4 matches,0
decent product. product is not good quality,0
perfect product . fast delivery and price low cost i am very happy to buy this item,1
terrific. valueable product...,1
terrific. nice product,1
perfect product . i got original product. we play between intermediate and advance level. 7 days have passed still we are using the first shuttle from the barrel. a single shuttle can last for around 10 15 days 1hr game daily . i am satisfied with the product and it s durability. we play on a outdoor cement court.,1
great product. very nice product,1
absolute rubbish . not good not bring money west,0
super . very nice good,1
value for money. nice for intermediate levels not suit6for begginers,1
terrific. awesomesuper fantastic satal,1
simply awesome. power play,1
just wow . awesome product,1
excellent. long life,1
absolute rubbish . counterfeit product not playable after 3 games. worst quality,0
just wow . super,1
very good. worth of money,1
very good. super,1
terrific purchase. orignal shuttle...loved it,1
worst experience ever . this is the worsted products i have received from flipkart,0
very poor. quality and durability is very worst.,0
best in the market . best product,1
absolute rubbish . old stock,0
nice product. good product,1
very good. durable slow and even flight,1
classy product. good,1
expected a better product. so bad,0
terrific. supar,1
unsatisfactory. it is worst i play one day and it is broken.,1
did not meet expectations. very bad quality shuttles. the bottom part comes off in just one game.,0
